customer_id,created_at,country,acquisition_channel
865,2025-01-01T19:56:31+00:00,NZ,Organic
957,2025-01-02T03:24:03+00:00,NZ,Organic
729,2025-01-02T10:22:56+00:00,AU,Facebook Ads
494,2025-01-03T02:35:18+00:00,NZ,Facebook Ads
298,2025-01-06T05:47:32+00:00,NZ,Google Ads
428,2025-01-06T08:59:11+00:00,CA,Referral
20,2025-01-07T05:40:18+00:00,US,Google Ads
909,2025-01-07T10:53:21+00:00,NZ,Facebook Ads
68,2025-01-07T14:13:58+00:00,AU,Organic
519,2025-01-07T15:47:12+00:00,NZ,Google Ads
42,2025-01-07T20:09:53+00:00,AU,Facebook Ads
90,2025-01-09T20:26:32+00:00,NZ,Organic
544,2025-01-12T12:17:28+00:00,NZ,Referral
482,2025-01-13T12:39:41+00:00,NZ,Organic
818,2025-01-13T15:30:08+00:00,US,Referral
325,2025-01-15T15:02:18+00:00,US,Facebook Ads
852,2025-01-15T20:23:05+00:00,NZ,Google Ads
529,2025-01-16T05:48:58+00:00,AU,Organic
638,2025-01-16T12:43:19+00:00,AU,Referral
599,2025-01-16T17:14:51+00:00,AU,Google Ads
395,2025-01-17T02:25:23+00:00,UK,Organic
502,2025-01-17T08:56:34+00:00,CA,Google Ads
270,2025-01-17T17:44:40+00:00,AU,Referral
125,2025-01-19T09:29:54+00:00,US,Organic
101,2025-01-20T19:18:19+00:00,NZ,Organic
827,2025-01-20T23:52:24+00:00,UK,Google Ads
127,2025-01-21T18:37:39+00:00,CA,Referral
2,2025-01-22T07:10:28+00:00,US,Google Ads
967,2025-01-23T14:30:14+00:00,AU,Facebook Ads
291,2025-01-24T08:12:39+00:00,NZ,Facebook Ads
369,2025-01-24T18:31:21+00:00,AU,Organic
343,2025-01-24T19:04:48+00:00,UK,Referral
505,2025-01-25T07:48:21+00:00,US,Organic
883,2025-01-25T13:53:35+00:00,UK,Organic
590,2025-01-27T05:01:02+00:00,CA,Organic
416,2025-01-29T04:28:10+00:00,AU,Google Ads
10,2025-01-29T13:10:03+00:00,AU,Organic
996,2025-01-29T20:51:00+00:00,NZ,Organic
685,2025-01-30T06:41:31+00:00,US,Organic
717,2025-01-30T18:09:06+00:00,CA,Organic
13,2025-01-30T23:34:16+00:00,AU,Facebook Ads
