payment_id,subscription_id,payment_at,payment_status,amount
1,1,2025-01-01T20:56:31+00:00,successful,20
2,1,2025-02-01T02:00:00+00:00,successful,20
3,1,2025-03-01T02:00:00+00:00,successful,20
4,1,2025-04-01T02:00:00+00:00,successful,20
5,1,2025-05-01T02:00:00+00:00,successful,20
6,1,2025-06-01T02:00:00+00:00,successful,20
7,2,2025-01-02T04:24:03+00:00,successful,50
8,2,2025-02-02T02:00:00+00:00,successful,50
9,2,2025-03-02T02:00:00+00:00,successful,50
10,2,2025-04-02T02:00:00+00:00,successful,50
11,2,2025-05-02T02:00:00+00:00,successful,50
12,2,2025-06-02T02:00:00+00:00,successful,50
13,2,2025-07-02T02:00:00+00:00,successful,50
14,2,2025-08-02T02:00:00+00:00,successful,50
15,2,2025-09-02T02:00:00+00:00,successful,50
16,2,2025-10-02T02:00:00+00:00,successful,50
17,2,2025-11-02T02:00:00+00:00,successful,50
18,2,2025-12-02T02:00:00+00:00,successful,50
19,3,2025-01-02T11:22:56+00:00,successful,20
20,3,2025-02-02T02:00:00+00:00,successful,20
21,3,2025-03-02T02:00:00+00:00,successful,20
22,3,2025-04-02T02:00:00+00:00,successful,20
23,4,2025-01-03T02:40:18+00:00,successful,540
24,5,2025-01-06T06:47:32+00:00,successful,50
25,5,2025-02-06T02:00:00+00:00,successful,50
26,5,2025-03-06T02:00:00+00:00,successful,50
27,5,2025-04-06T02:00:00+00:00,successful,50
28,5,2025-05-06T02:00:00+00:00,successful,50
29,5,2025-06-06T02:00:00+00:00,successful,50
30,5,2025-07-06T02:00:00+00:00,successful,50
31,5,2025-08-06T02:00:00+00:00,successful,50
32,6,2025-01-06T09:59:11+00:00,successful,20
33,6,2025-02-06T02:00:00+00:00,successful,20
34,6,2025-03-06T02:00:00+00:00,successful,20
35,6,2025-04-06T02:00:00+00:00,successful,20
36,7,2025-01-07T06:40:18+00:00,successful,50
37,7,2025-02-07T02:00:00+00:00,successful,50
38,7,2025-03-07T02:00:00+00:00,successful,50
39,7,2025-04-07T02:00:00+00:00,successful,50
40,7,2025-05-07T02:00:00+00:00,successful,50
41,7,2025-06-07T02:00:00+00:00,successful,50
42,7,2025-07-07T02:00:00+00:00,successful,50
43,7,2025-08-07T02:00:00+00:00,successful,50
44,7,2025-09-07T02:00:00+00:00,successful,50
45,7,2025-10-07T02:00:00+00:00,successful,50
46,7,2025-11-07T02:00:00+00:00,successful,50
47,7,2025-12-07T02:00:00+00:00,successful,50
48,8,2025-01-07T11:53:21+00:00,successful,50
49,8,2025-02-07T02:00:00+00:00,successful,50
50,8,2025-03-07T02:00:00+00:00,successful,50
51,8,2025-04-07T02:00:00+00:00,successful,50
52,8,2025-05-07T02:00:00+00:00,successful,50
53,8,2025-06-07T02:00:00+00:00,successful,50
54,9,2025-01-07T15:13:58+00:00,failed,20
55,9,2025-02-07T02:00:00+00:00,successful,20
56,9,2025-03-07T02:00:00+00:00,successful,20
57,9,2025-04-07T02:00:00+00:00,successful,20
58,9,2025-05-07T02:00:00+00:00,successful,20
59,9,2025-06-07T02:00:00+00:00,successful,20
60,9,2025-07-07T02:00:00+00:00,successful,20
61,9,2025-08-07T02:00:00+00:00,successful,20
62,9,2025-09-07T02:00:00+00:00,successful,20
63,9,2025-10-07T02:00:00+00:00,successful,20
64,9,2025-11-07T02:00:00+00:00,successful,20
65,9,2025-12-07T02:00:00+00:00,successful,20
66,10,2025-01-07T16:47:12+00:00,successful,20
67,10,2025-02-07T02:00:00+00:00,successful,20
68,11,2025-01-07T21:09:53+00:00,successful,20
69,11,2025-02-07T02:00:00+00:00,successful,20
70,11,2025-03-07T02:00:00+00:00,successful,20
71,11,2025-04-07T02:00:00+00:00,successful,20
72,11,2025-05-07T02:00:00+00:00,successful,20
73,11,2025-06-07T02:00:00+00:00,successful,20
74,11,2025-07-07T02:00:00+00:00,failed,20
75,11,2025-08-07T02:00:00+00:00,successful,20
76,11,2025-09-07T02:00:00+00:00,successful,20
77,12,2025-01-09T20:31:32+00:00,successful,540
78,13,2025-01-12T13:17:28+00:00,successful,50
79,13,2025-02-12T02:00:00+00:00,successful,50
80,13,2025-03-12T02:00:00+00:00,successful,50
81,13,2025-04-12T02:00:00+00:00,successful,50
82,13,2025-05-12T02:00:00+00:00,successful,50
83,13,2025-06-12T02:00:00+00:00,successful,50
84,13,2025-07-12T02:00:00+00:00,successful,50
85,13,2025-08-12T02:00:00+00:00,successful,50
86,13,2025-09-12T02:00:00+00:00,successful,50
87,13,2025-10-12T02:00:00+00:00,failed,50
88,13,2025-11-12T02:00:00+00:00,successful,50
89,13,2025-12-12T02:00:00+00:00,successful,50
90,14,2025-01-13T13:39:41+00:00,successful,20
91,14,2025-02-13T02:00:00+00:00,successful,20
92,14,2025-03-13T02:00:00+00:00,failed,20
93,14,2025-04-13T02:00:00+00:00,successful,20
94,14,2025-05-13T02:00:00+00:00,successful,20
95,14,2025-06-13T02:00:00+00:00,successful,20
96,14,2025-07-13T02:00:00+00:00,successful,20
97,14,2025-08-13T02:00:00+00:00,successful,20
98,14,2025-09-13T02:00:00+00:00,successful,20
99,14,2025-10-13T02:00:00+00:00,successful,20
100,14,2025-11-13T02:00:00+00:00,successful,20
101,14,2025-12-13T02:00:00+00:00,successful,20
102,15,2025-01-13T16:30:08+00:00,successful,50
103,15,2025-02-13T02:00:00+00:00,successful,50
104,15,2025-03-13T02:00:00+00:00,successful,50
105,15,2025-04-13T02:00:00+00:00,successful,50
106,15,2025-05-13T02:00:00+00:00,successful,50
107,15,2025-06-13T02:00:00+00:00,successful,50
108,15,2025-07-13T02:00:00+00:00,successful,50
109,15,2025-08-13T02:00:00+00:00,successful,50
110,16,2025-01-15T16:02:18+00:00,successful,50
111,16,2025-02-15T02:00:00+00:00,successful,50
112,16,2025-03-15T02:00:00+00:00,successful,50
113,16,2025-04-15T02:00:00+00:00,successful,50
114,16,2025-05-15T02:00:00+00:00,successful,50
115,16,2025-06-15T02:00:00+00:00,successful,50
116,16,2025-07-15T02:00:00+00:00,successful,50
117,16,2025-08-15T02:00:00+00:00,successful,50
118,16,2025-09-15T02:00:00+00:00,successful,50
119,16,2025-10-15T02:00:00+00:00,failed,50
120,16,2025-11-15T02:00:00+00:00,successful,50
121,17,2025-01-15T21:23:05+00:00,successful,20
122,17,2025-02-15T02:00:00+00:00,successful,20
123,17,2025-03-15T02:00:00+00:00,successful,20
124,17,2025-04-15T02:00:00+00:00,successful,20
125,17,2025-05-15T02:00:00+00:00,successful,20
126,17,2025-06-15T02:00:00+00:00,successful,20
