"customer_id","plan_type","billing_cycle","total_revenue","total_payments","successful_payments","failed_payments","started_date","ended_date","subscription_length_days","churned"
1,"basic","monthly",80.00,4,4,0,"2025-09-29 07:41:48+13",NULL,93,0
2,"basic","monthly",240.00,12,11,1,"2025-01-22 20:10:28+13",NULL,343,0
3,"pro","monthly",50.00,1,1,0,"2025-05-03 13:18:01+12","2025-05-08 22:56:08+12",5,1
4,"basic","monthly",160.00,8,7,1,"2025-05-11 20:06:04+12",NULL,234,0
5,"basic","monthly",80.00,4,4,0,"2025-09-11 17:56:24+12",NULL,111,0
6,"pro","monthly",200.00,4,3,1,"2025-09-07 11:04:35+12",NULL,115,0
7,"basic","monthly",40.00,2,2,0,"2025-11-29 15:21:38+13",NULL,32,0
8,"basic","yearly",216.00,1,1,0,"2025-02-21 04:45:01+13",NULL,313,0
9,"pro","monthly",300.00,6,6,0,"2025-07-15 08:10:38+12",NULL,169,0
10,"pro","monthly",450.00,9,9,0,"2025-01-30 02:10:03+13","2025-10-06 20:03:23+13",249,1
11,"pro","monthly",50.00,1,1,0,"2025-04-04 23:13:12+13","2025-04-21 12:50:36+12",16,1
12,"basic","monthly",60.00,3,3,0,"2025-08-15 10:35:46+12","2025-11-10 18:43:12+13",87,1
13,"basic","yearly",216.00,1,1,0,"2025-01-31 12:34:16+13",NULL,334,0
14,"basic","yearly",216.00,1,1,0,"2025-04-22 21:19:15+12",NULL,253,0
15,"basic","yearly",216.00,1,1,0,"2025-09-04 13:25:36+12",NULL,118,0
16,"basic","monthly",100.00,5,5,0,"2025-08-19 03:09:03+12",NULL,134,0
17,"pro","monthly",400.00,8,7,1,"2025-05-12 12:27:05+12",NULL,233,0
18,"basic","yearly",216.00,1,1,0,"2025-08-11 09:40:38+12",NULL,142,0
19,"basic","monthly",60.00,3,3,0,"2025-10-16 19:06:01+13",NULL,76,0
20,"pro","monthly",600.00,12,12,0,"2025-01-07 18:40:18+13",NULL,358,0
21,"basic","monthly",60.00,3,2,1,"2025-10-04 04:54:07+13",NULL,88,0
22,"basic","monthly",80.00,4,4,0,"2025-09-11 00:30:31+12",NULL,111,0
23,"basic","monthly",140.00,7,7,0,"2025-06-30 09:16:05+12",NULL,184,0
